"a","b","c","d","e"
0.843901794718068,1.36241823242164,-1.16912088004922,0.520493245685861,0.170729108019513
0.969768913885154,0.350110367423079,-0.275940689553494,1.09014517562845,0.440553306707091
-1.67399733895768,-1.83286696784633,0.0602520222616719,-0.210141642804878,0.815134928249583
-2.01746475297485,-0.494896720477274,-1.22771454438313,-1.31834866299126,-0.0119808097796223
2.08343681422812,0.175016655387478,0.35569886465207,0.984071207915113,0.255073408839771
-0.704679011008203,-0.544550673654964,-0.327968630378074,-1.97840420119616,1.00256802102423
-1.07775922743415,-0.0979188160890729,-0.128461101699045,-0.900908156574418,1.2981030805774
-0.721409829356462,-1.67933909969286,-2.26039242318623,1.81775117209251,-0.118876519462164
-0.511311663461808,-0.271298716915429,-0.128437066648943,0.27219764888244,0.234165550803448
-0.698375134106684,0.889274298130236,-0.00199412830012941,0.775046404947442,0.112918627123316
-0.61466676121268,-0.664193009267314,0.887766092030139,0.372908026907895,0.383046428948049
0.0153180464332155,-0.550417910305413,0.645604586106027,-0.0846340659948841,-0.488729129210782
-1.33983637121938,-0.00925191261607956,-1.64951274314061,-0.568454995672402,-0.256519202096003
1.94183027450243,-0.779934962804269,-2.76110168857799,-0.7831620611349,-0.399689374448392
-0.872575926880369,0.0965717008117747,0.430551077344126,0.0768586881368276,1.06257159541884
1.62497105770413,-0.832461622398212,1.4610177840206,-0.347073732326777,1.54686329335421
1.00384375472318,0.40436162638523,-1.09120317043229,0.297380024185135,1.48045045756783
0.658946982445758,1.40868842993378,1.16424543450547,-1.34747244708883,0.116614663031364
-0.540965440153495,0.665646889554887,0.1750680740206,-0.782361299634024,-0.424096028938563
1.2159118368377,0.770619925055498,1.35458612003484,0.74952321720007,0.00689594081450538
0.356638815522648,0.562241389865014,-0.972018911898561,-0.139699205683233,-1.37485506712231
1.02873810068208,0.43264681967752,-0.698208050652974,0.364940730205895,0.379362141463695
-0.497910103693502,-0.954013082704056,0.716967440175235,-0.934091301070131,-0.0551849936245814
0.500737444896588,-0.0683365241367384,-1.66901099946663,0.386711618277539,0.52151297402279
0.333969939276326,0.628956641175005,-0.457142753465365,-1.63502063683039,0.983300620320071
0.177457911748766,0.310279918361649,-0.0713755858808549,-0.59470269557825,0.138334565143976
-0.00238103945800001,-1.49518365932417,-1.97750602780062,-0.459781638008466,-0.15199701712986
1.28585517339151,1.54317641628891,0.575175925900202,1.28662071788795,0.396903732035748
-1.50250565767438,-1.38282209373706,-0.548161213833297,-1.00458532692883,0.80723619752921
-0.900881470019386,-0.306588460152577,-0.5400243609877,0.214305900495823,0.399012386849528
-0.51059883415525,-0.186138000647801,0.137070184365769,-0.486712056371754,-0.42798959703056
-0.671423500401493,0.395225528377614,-0.366005445378556,-0.0364573205687543,-0.056089386482091
-1.33333889899879,-0.770981782354284,0.0778047388355589,-0.577591789022139,-1.12361599304515
-0.644036707110603,-0.189176568738326,-0.222833393629007,0.35830184663884,-0.898806239058056
-0.318616690664005,-0.964311553041062,2.41928265559598,-1.32718983055947,-0.102570564796818
-0.41887842866172,-0.848037793106565,0.45812756941474,-0.159058069681876,0.277215672225272
0.233388100032548,0.564584339130458,0.548641206816258,-0.844843503946541,1.70313790446591
0.750415234977799,-0.169904985626651,-0.768433462550263,-0.222934825842844,0.0433595767836595
0.336419396317114,-0.49223648717243,0.230676378108261,-1.15116204333901,2.07320210977742
0.419353987076581,1.47137443058302,0.956975606442105,-0.254711840069547,-0.299174903020683
-0.61711132405359,0.779920153415297,-0.37138209271854,0.486131424245893,1.95437036523082
-0.00878209244116977,0.890524085190014,0.594408788621658,-0.681980758909866,-0.627366730726567
-1.21657819298045,0.553192283727903,1.25577609929571,0.364287544089284,-0.0591069789555066
0.312387503145517,0.175238439094082,0.696872116141678,-0.833791529735851,0.365386943911893
0.515371843891901,0.00578861733347854,-0.859671386976628,0.437756970750127,-0.633380179097316
1.33436561158743,-1.47088257704245,-1.37327551702813,0.264720071662314,-0.204758326651756
-0.0197051816774318,-2.13189504194844,0.540795238728666,0.749508499287195,1.86820765068018
-1.24016421676515,-0.645208709674423,-0.631704828528173,-1.12883880660555,0.201736287607276
-0.459679009505494,-1.63238200447051,1.30479458470272,-0.472075495544192,-0.913952011808005
-0.144705513891875,1.33836599870244,1.08653832279934,0.895163492045912,0.285251211065648
